industry,site_count,percent_of_live_sites
Web & Interactive,1793,39.303
Design Agencies,1086,23.805
Portfolio,933,20.452
Business & Corporate,701,15.366
Promotional,604,13.24
Technology,555,12.166
Design Websites,422,9.25
E-Commerce,401,8.79
Culture & Education,393,8.615
Fashion,325,7.124
Film & TV,313,6.861
Music & Sound,264,5.787
Games & Entertainment,238,5.217
Other,224,4.91
Architecture,217,4.757
Food & Drink,216,4.735
Photo & Video,207,4.537
Startups,195,4.274
Mobile & Apps,149,3.266
Events,135,2.959
Sports,121,2.652
Institutions,98,2.148
Social responsibility,79,1.732
Hotel / Restaurant,75,1.644
Magazine / Newspaper / Blog,71,1.556
Real Estate,66,1.447
Luxury,59,1.293
