extension,site_count,percent_of_live_sites,reference_count
js,4156,91.1,55454
css,3829,83.932,18980
png,3828,83.911,58381
jpg,2995,65.651,56466
svg,2441,53.507,39008
ico,1514,33.187,1762
mp4,1183,25.932,7706
html,1173,25.712,9143
webp,859,18.829,15930
json,845,18.523,2019
woff2,748,16.396,2533
xml,429,9.404,450
gif,415,9.097,2773
jpeg,392,8.593,2984
pdf,283,6.203,710
webm,227,4.976,841
txt,168,3.683,213
avif,160,3.507,3849
woff,108,2.367,291
mp3,99,2.17,560
ttf,59,1.293,130
m3u8,55,1.206,410
mjs,49,1.074,914
mov,42,0.921,86
otf,32,0.701,116
htm,24,0.526,282
zip,22,0.482,45
ogg,21,0.46,87
glb,16,0.351,69
ogv,11,0.241,44
wasm,7,0.153,8
m4v,5,0.11,43
wav,4,0.088,11
riv,3,0.066,42
hdr,2,0.044,2
aac,2,0.044,2
gltf,2,0.044,2
heic,2,0.044,2
exr,1,0.022,1
ktx2,1,0.022,7
bmp,1,0.022,1
tif,1,0.022,1
eot,1,0.022,4
