visual_style,site_count,percent_of_live_sites
Black,1855,40.662
White,1814,39.763
Clean,1326,29.066
Typography,992,21.745
Minimal,732,16.046
Colorful,697,15.278
Silver,685,15.015
Blue,648,14.204
Red,530,11.618
Yellow,526,11.53
Art & Illustration,520,11.399
Graphic design,470,10.302
Green,466,10.215
Big Background Images,462,10.127
UI design,426,9.338
Experimental,380,8.33
Photographic,335,7.343
Brown,296,6.488
Illustration,278,6.094
Orange,266,5.831
Pink,240,5.261
Flat Design,211,4.625
Photography,187,4.099
Flexible,143,3.135
Bright,99,2.17
Retro,91,1.995
Content architecture,86,1.885
Icons,84,1.841
Trend,72,1.578
Texture,53,1.162
Copy design,51,1.118
Vector,49,1.074
